id,tradition,chunk_index,embedding,text,model
analects_trans,China/Confucianism,19,"[-0.00614729  0.04770202 -0.02783887 ...  0.00128371 -0.02961056
  0.03975509]","r; it's the best she can do; take a manly view of
it. Good-bye.""

Robert was but slightly affected by the intelligence. His thoughts were
on Dahlia as he had first seen her, when in her bloom, and the sister of
his darling; now miserable; a thing trampled to earth! With him, pity
for a victim soon became lost in rage at the author of the wrong, and as
he walked along he reflected contemptuously on his feeble efforts to
avenge her at Warbeach. She lived in a poor row of cottages, striking
off from one of the main South-western suburb roads, not very distant
from his own lodgings, at which he marvelled, as at a cruel irony. He
could not discern the numbers, and had to turn up several of the dusky
little strips of garden to read the numbers on the doors. A faint smell
of lilac recalled the country and old days, and some church bells began
ringing. The number of the house where he was to find Dahlia was seven.
He was at the door of the house next to it, when he heard voices in the
garden beside him.",BAAI/bge-m3
analects_trans,China/Confucianism,20,"[ 0.01677134  0.04822731 -0.00726544 ... -0.01641408 -0.01005569
 -0.03986952]","house next to it, when he heard voices in the
garden beside him.

A man said, ""Then I have your answer?""

A woman said, ""Yes; yes.""

""You will not trust to my pledged honour?""

""Pardon me; not that. I will not live in disgrace.""

""When I promise, on my soul, that the moment I am free I will set you
right before the world?""

""Oh! pardon me.""

""You will?""

""No; no! I cannot.""",BAAI/bge-m3
analects_trans,China/Confucianism,21,"[-0.02675883  0.06321326 -0.01684496 ...  0.00942364 -0.00871516
 -0.02523113]","the world?""

""Oh! pardon me.""

""You will?""

""No; no! I cannot.""

""You choose to give yourself to an obscure dog, who'll ill-treat you, and
for whom you don't care a pin's-head; and why? that you may be fenced
from gossip, and nothing more. I thought you were a woman above that
kind of meanness. And this is a common countryman. How will you endure
that kind of life? You were made for elegance and happiness: you shall
have it. I met you before your illness, when you would not listen to me:
I met you after. I knew you at once. Am I changed? I swear to you I
have dreamed of you ever since, and love you. Be as faded as you like;
be hideous, if you like; but come with me. You know my name, and what I
am. Twice I have followed you, and found your name and address; twice I
have written to you, and made the same proposal. And you won't trust to
my honour? When I tell you I love you tenderly? When I give you my
solemn assurance that you shall not regret it? You have been deceived by
one man: why punish me? I know--I feel you are innocent and good. This
is the third time that you have permitted me to speak to you: let it be
final. Say you will trust yourself to me--trust in my honour. Say it
shall be to-morrow. Yes; say the word. To-morrow. My sweet creature--
do!""",BAAI/bge-m3
analects_trans,China/Confucianism,22,"[ 0.00353351  0.04581251 -0.03083632 ...  0.0209338  -0.02390608
 -0.00526066]","o-morrow. Yes; say the word. To-morrow. My sweet creature--
do!""

The man spoke earnestly, but a third person and extraneous hearer could
hardly avoid being struck by the bathetic conclusion. At least, in tone
it bordered on a fall; but the woman did not feel it so.

She replied: ""You mean kindly to me, sir. I thank you indeed, for I am
very friendless. Oh! pardon me: I am quite--quite determined. Go--pray,
forget me.""

This was Dahlia's voice.",BAAI/bge-m3
analects_trans,China/Confucianism,23,"[-0.00937888  0.04887158 -0.04639211 ... -0.02347393 -0.00186225
  0.02095126]","uite determined. Go--pray,
forget me.""

This was Dahlia's voice.

Robert was unconscious of having previously suspected it. Heartily
ashamed of letting his ears be filled with secret talk, he went from the
garden and crossed the street.

He knew this to be one of the temptations of young women in London.

Shortly after, the man came through the iron gateway of the garden. He
passed under lamplight, and Robert perceived him to be a gentleman in
garb.",BAAI/bge-m3
analects_trans,China/Confucianism,24,"[ 0.00371341  0.02859997 -0.01521007 ... -0.02658031 -0.02723495
  0.01997024]","r lamplight, and Robert perceived him to be a gentleman in
garb.

A light appeared in the windows of the house. Now that he had heard her
voice, the terrors of his interview were dispersed, and he had only plain
sadness to encounter. He knocked at the door quietly. There was a long
delay after he had sent in his name; but finally admission was given.",BAAI/bge-m3
analects_trans,China/Confucianism,25,"[-0.02584917  0.01694145 -0.03999292 ...  0.02960153 -0.03893058
  0.03759469]","after he had sent in his name; but finally admission was given.

""If I had loved her!"" groaned Robert, before he looked on her; but when
he did look on her, affectionate pity washed the selfish man out of him.
All these false sensations, peculiar to men, concerning the soiled purity
of woman, the lost innocence; the brand of shame upon her, which are
commonly the foul sentimentalism of such as can be too eager in the chase
of corruption when occasion suits, and are another side of pruriency, not
absolutely foreign to the best of us in our youth--all passed away from
him in Dahlia's presence.",BAAI/bge-m3
analects_trans,China/Confucianism,26,"[-0.01041424  0.01794317 -0.03282162 ... -0.0100584  -0.00687435
  0.02754047]","us in our youth--all passed away from
him in Dahlia's presence.

The young man who can look on them we call fallen women with a noble eye,
is to my mind he that is most nobly begotten of the race, and likeliest
to be the sire of a noble line. Robert was less than he; but Dahlia's
aspect helped him to his rightful manliness. He saw that her worth
survived.

The creature's soul had put no gloss upon her sin. She had sinned, and
her suffering was manifest.",BAAI/bge-m3
analects_trans,China/Confucianism,27,"[ 0.02644852  0.02473537 -0.04710469 ...  0.02868181 -0.01597418
  0.03423186]","ss upon her sin. She had sinned, and
her suffering was manifest.

She had chosen to stand up and take the scourge of God; after which the
stones cast by men are not painful.

By this I mean that she had voluntarily stripped her spirit bare of
evasion, and seen herself for what she was; pleading no excuse. His
scourge is the Truth, and she had faced it.",BAAI/bge-m3
analects_trans,China/Confucianism,28,"[-0.00193432 -0.00953592 -0.02815436 ...  0.03321132  0.00205262
 -0.00457833]","ading no excuse. His
scourge is the Truth, and she had faced it.

Innumerable fanciful thoughts, few of them definite, beset the mind at
interviews such as these; but Robert was distinctly impressed by her
look. It was as that of one upon the yonder shore. Though they stood
close together, he had the thought of their being separate--a gulf
between.",BAAI/bge-m3
analects_trans,China/Confucianism,29,"[-0.01872002  0.02523374 -0.02225585 ...  0.01974961 -0.02145296
  0.00941423]","her, he had the thought of their being separate--a gulf
between.

The colourlessness of her features helped to it, and the odd little
close-fitting white linen cap which she wore to conceal the
stubborn-twisting clipped curls of her shorn head, made her unlike women
of our world. She was dressed in black up to the throat. Her eyes were
still luminously blue, and she let them dwell on Robert one gentle
instant, giving him her hand humbly.",BAAI/bge-m3
analects_trans,China/Confucianism,30,"[-0.00477814  0.04269884 -0.03625387 ... -0.01735741 -0.01431709
  0.01581535]","dwell on Robert one gentle
instant, giving him her hand humbly.

""Dahlia!--my dear sister, I wish I could say; but the luck's against me,""
Robert began.

She sat, with her fingers locked together in her lap, gazing forward on
the floor, her head a little sideways bent.

""I believe,"" he went on--""I haven't heard, but I believe Rhoda is well.""

""She and father are well, I know,"" said Dahlia.

Robert started: ""Are you in communication with them?""",BAAI/bge-m3
analects_trans,China/Confucianism,31,"[-0.01256076  0.01646534 -0.01759823 ... -0.0002813   0.02095786
  0.00090573]","d Dahlia.

Robert started: ""Are you in communication with them?""

She shook her head. ""At the end of some days I shall see them.""

""And then perhaps you'll plead my cause, and make me thankful to you for
life, Dahlia?""

""Rhoda does not love you.""

""That's the fact, if a young woman's to be trusted to know her own mind,
in the first place, and to speak it, in the second.""",BAAI/bge-m3
analects_trans,China/Confucianism,32,"[ 0.01661889  0.0314421  -0.00072736 ...  0.01987409  0.02651417
  0.02225233]","r own mind,
in the first place, and to speak it, in the second.""

Dahlia, closed her lips. The long-lined underlip was no more very red.
Her heart knew that it was not to speak of himself that he had come; but
she was poor-witted, through weakness of her blood, and out of her own
immediate line of thought could think neither far nor deep. He
entertained her with talk of his notions of Rhoda, finishing:",BAAI/bge-m3
analects_trans,China/Confucianism,33,"[-0.02436159  0.00579067  0.00079638 ...  0.00352376 -0.01630487
  0.02148064]","He
entertained her with talk of his notions of Rhoda, finishing:

""But at the end of a week you will see her, and I dare say she'll give
you her notions of me. Dahlia! how happy this'll make them. I do say
thank God! from my soul, for this.""

She pressed her hands in her lap, trembling. ""If you will, please, not
speak of it, Mr. Robert.""

""Say only you do mean it, Dahlia. You mean to let them see you?""

She shivered out a ""Yes.""",BAAI/bge-m3
analects_trans,China/Confucianism,34,"[-0.01322709  0.01174565 -0.03247233 ...  0.03083594 -0.01267229
  0.02255539]","ahlia. You mean to let them see you?""

She shivered out a ""Yes.""

""That's right. Because, a father and a sister--haven't they a claim?
Think a while. They've had a terrible time. And it's true that you've
consented to a husband, Dahlia? I'm glad, if it is; and he's good and
kind. Right soul-glad I am.""",BAAI/bge-m3
analects_trans,China/Confucianism,35,"[-0.01062363  0.02588438  0.00179063 ... -0.01379055  0.04012342
  0.02595455]","m glad, if it is; and he's good and
kind. Right soul-glad I am.""

While he was speaking, her eyelids lifted and her eyes became fixed on
him in a stony light of terror, like a creature in anguish before her
executioner. Then again her eyelids dropped. She had not moved from her
still posture.

""You love him?"" he asked, in some wonderment.

She gave no answer.

""Don't you care for him?""

There was no reply.",BAAI/bge-m3
analects_trans,China/Confucianism,36,"[-0.01322491  0.05434828 -0.01939092 ... -0.00890587  0.02129382
  0.01389842]","gave no answer.

""Don't you care for him?""

There was no reply.

""Because, Dahlia, if you do not I know I have no right to fancy you do
not. How is it? Tell me. Marriage is an awful thing, where there's no
love. And this man, whoever he is--is he in good circumstances? I
wouldn't speak of him; but, you see, I must, as your friend--and I'm
that. Come: he loves you? Of course he does. He has said so. I
believe it. And he's a man you can honour and esteem? You wouldn't
consent without, I'm sure. What makes me anxious--I look on you as my
sister, whether Rhoda will have it so or not; I'm anxious because--I'm
anxious it should be over, for then Rhoda will be proud of the faith she
had in you, and it will lighten the old man's heart.""",BAAI/bge-m3
analects_trans,China/Confucianism,37,"[ 0.00180343  0.03392772 -0.03980986 ...  0.00562081  0.00890123
  0.01502107]","faith she
had in you, and it will lighten the old man's heart.""

Once more the inexplicable frozen look struck over him from her opened
eyes, as if one of the minutes of Time had yawned to show him its deep,
mute, tragic abyss, and was extinguished.

""When does it take place, Dahlia?""

Her long underlip, white almost as the row of teeth it revealed, hung
loose.

""When?"" he asked, leaning forward to hear, and the word was ""Saturday,""
uttered with a feeble harshness, not like the gentle voice of Dahlia.",BAAI/bge-m3
analects_trans,China/Confucianism,38,"[-0.00495026  0.03207917 -0.01143725 ...  0.01578918 -0.01645623
  0.02418602]","ed with a feeble harshness, not like the gentle voice of Dahlia.

""This coming Saturday?""

""No.""

""Saturday week?""

She fell into a visible trembling.

""You named the day?""

He pushed for an indication of cheerful consent to the act she was about
to commit, or of reluctance.

Possibly she saw this, for now she answered, ""I did."" The sound was deep
in her throat.

""Saturday week,"" said Robert. ""I feel to the man as a brother, already.
Do you live--you'll live in the country?""

""Abroad.""",BAAI/bge-m3
analects_trans,China/Confucianism,39,"[ 0.00221196  0.04094298 -0.00485373 ...  0.00355449  0.02221338
 -0.00121558]","r, already.
Do you live--you'll live in the country?""

""Abroad.""

""Not in Old England? I'm sorry for that. But--well! Things must be as
they're ordered. Heigho! I've got to learn it.""

Dahlia smiled kindly.

""Rhoda will love you. She is firm when she loves.""

""When she loves. Where's the consolation to me?""

""Do you think she loves me as much--as much""

""As much as ever? She loves her sister with all her heart--all, for I
haven't a bit of it.""",BAAI/bge-m3
analects_trans,China/Confucianism,40,"[ 0.00263482  0.01788023 -0.02228861 ...  0.00204918 -0.05943702
  0.00317348]","her sister with all her heart--all, for I
haven't a bit of it.""

""It is because,"" said Dahlia slowly, ""it is because she thinks I am--""

Here the poor creature's bosom heaved piteously.

""What has she said of me? I wish her to have blamed me--it is less
pain.""",BAAI/bge-m3
analects_trans,China/Confucianism,41,"[ 0.01163132  0.03457506 -0.0231173  ... -0.00132443 -0.00943942
 -0.01892824]","she said of me? I wish her to have blamed me--it is less
pain.""

""Listen,"" said Robert. ""She does not, and couldn't blame you, for it's a
sort of religion with her to believe no wrong of you. And the reason why
she hates me is, that I, knowing something more of the world, suspected,
and chose to let her know it--I said it, in fact--that you had been
deceived by a--But this isn't the time to abuse others. She would have
had me, if I had thought proper to think as she thinks, or play
hypocrite, and pretend to. I'll tell you openly, Dahlia; your father
thinks the worst. Ah! you look the ghost again. It's hard for you to
hear, but you give me a notion of having got strength to hear it. It's
your father's way to think the worst. Now, when you can show him your
husband, my dear, he'll lift his head. He's old English. He won't dream
of asking questions. He'll see a brave and honest young man who must
love you, or--he does love you, that's settled. Your father'll shake his
hand, and as for Rhoda, she'll triumph. The only person to speak out to,
is the man who marries you, and that you've done.""",BAAI/bge-m3
analects_trans,China/Confucianism,42,"[ 0.00434474  0.04322438 -0.01641247 ... -0.03006895  0.0108215
  0.00635626]","speak out to,
is the man who marries you, and that you've done.""

Robert looked the interrogation he did not utter.

""I have,"" said Dahlia.

""Good: if I may call him brother, some day, all the better for me. Now,
you won't leave England the day you're married.""

""Soon. I pray that it may be soon.""",BAAI/bge-m3
analects_trans,China/Confucianism,43,"[ 0.00614562  0.03756034 -0.00757816 ... -0.03729603 -0.00869294
  0.00442859]","nd the day you're married.""

""Soon. I pray that it may be soon.""

""Yes; well, on that morning, I'll have your father and Rhoda at my
lodgings, not wide from here: if I'd only known it earlier!--and you and
your husband shall come there and join us. It'll be a happy meeting at
last.""

Dahlia stopped her breathing.

""Will you see Rhoda?""

""I'll go to her to-morrow, if you like.""

""If I might see her, just as I am leaving England! not before.""

""That's not generous,"" said Robert.",BAAI/bge-m3
analects_trans,China/Confucianism,44,"[ 0.00893018 -0.00123299 -0.01208564 ... -0.01610327 -0.01208253
 -0.05127009]","aving England! not before.""

""That's not generous,"" said Robert.

""Isn't it?"" she asked like a child.

""Fancy!--to see you she's been longing for, and the ship that takes you
off, perhaps everlastingly, as far as this world's concerned!""

""Mr. Robert, I do not wish to deceive my sister. Father need not be
distressed. Rhoda shall know. I will not be guilty of falsehoods any
more--no more! Will you go to her? Tell her--tell Rhoda what I am. Say
I have been ill. It will save her from a great shock.""",BAAI/bge-m3
analects_trans,China/Confucianism,45,"[ 0.00979084  0.03167192 -0.01542268 ... -0.00272072 -0.01958774
 -0.05408388]","I am. Say
I have been ill. It will save her from a great shock.""

She covered her eyes.

""I said in all my letters that my husband was a gentleman.""",BAAI/bge-m3
analects_trans,China/Confucianism,46,"[-0.00066926  0.04634393 -0.01585106 ... -0.00055892  0.00566138
  0.03181072]","es.

""I said in all my letters that my husband was a gentleman.""

It was her first openly penitential utterance in his presence, and her
cheeks were faintly reddened. It may have been this motion of her blood
which aroused the sunken humanity within her; her heart leaped, and she
cried ""I can see her as I am, I can. I thought it impossible. Oh! I
can. Will she come to me? My sister is a Christian and forgives. Oh!
let me see her. And go to her, dear Mr. Robert, and ask her--tell her
all, and ask her if I may be spared, and may work at something--anything,
for my livelihood near my sister. It is difficult for women to earn
money, but I think I can. I have done so since my illness. I have been
in the hospital with brain fever. He was lodging in the house with me
before. He found me at the hospital. When I came out, he walked with me
to support me: I was very weak. He read to me, and then asked me to
marry him. He asked again. I lay in bed one night, and with my eyes
open, I saw the dangers of women, and the trouble of my father and
sister; and pits of wickedness. I saw like places full of snakes. I had
such a yearning for protection. I gave him my word I would be his wife,
if he was not ashamed of a wife like me. I wished to look once in
father's face. I had fancied that Rhoda would spurn me, when she
discovered my falsehood. She--sweet dear! would she ever? Go to her.
Say, I do not love any man. I am heart-dead. I have no heart except for
her. I cannot love a husband. He is good, and it is kind: but, oh! let
me be spared. His face!--""",BAAI/bge-m3
analects_trans,China/Confucianism,47,"[ 0.01576385  0.02357962 -0.03418031 ...  0.02202912 -0.03835363
 -0.00073516]","is good, and it is kind: but, oh! let
me be spared. His face!--""

She pressed her hands tight into the hollow of her eyes.",BAAI/bge-m3
analects_trans,China/Confucianism,48,"[-0.01138329  0.02700318 -0.0214362  ...  0.01102974 -0.02760129
  0.0353061 ]","ce!--""

She pressed her hands tight into the hollow of her eyes.

""No; it can't be meant. Am I very ungrateful? This does not seem to be
what God orders. Only if this must be! only if it must be! If my sister
cannot look on me without! He is good, and it is unselfish to take a
moneyless, disgraced creature: but, my misery!--If my sister will see me,
without my doing this!--Go to her, Mr. Robert. Say, Dahlia was false,
and repents, and has worked with her needle to subsist, and can, and
will, for her soul strives to be clean. Try to make her understand.
If Rhoda could love you, she would know. She is locked up--she is only
ideas. My sweet is so proud. I love her for her pride, if she will only
let me creep to her feet, kiss her feet. Dear Mr. Robert, help me! help
me! I will do anything she says. If she says I am to marry him, I will.
Don't mind my tears--they mean nothing now. Tell my dear, I will obey
her. I will not be false any more to her. I wish to be quite stripped.
And Rhoda may know me, and forgive me, if she can. And--Oh! if she
thinks, for father's sake, I ought, I will submit and speak the words;
I will; I am ready. I pray for mercy.""",BAAI/bge-m3
analects_trans,China/Confucianism,49,"[-0.00163948 -0.00294903 -0.02087131 ... -0.04871292 -0.05282928
  0.02729067]","bmit and speak the words;
I will; I am ready. I pray for mercy.""

Robert sat with his fist at his temples, in a frowning meditation.",BAAI/bge-m3
analects_trans,China/Confucianism,50,"[ 0.01218172  0.01114669 -0.02229241 ... -0.05391347 -0.02245266
  0.03040006]","bert sat with his fist at his temples, in a frowning meditation.

Had she declared her reluctance to take the step, in the first moments of
their interview, he might have been ready to support her: but a project
fairly launched becomes a reality in the brain--a thing once spoken of
attracts like a living creature, and does not die voluntarily. Robert
now beheld all that was in its favour, and saw nothing but flighty flimsy
objections to it. He was hardly moved by her unexpected outburst.",BAAI/bge-m3
analects_trans,China/Confucianism,51,"[-0.00088623  0.01807863 -0.02548068 ...  0.0505567   0.01707604
 -0.01959452]","bjections to it. He was hardly moved by her unexpected outburst.

Besides, there was his own position in the case. Rhoda would smile on
him, if he brought Dahlia to her, and brought her happy in the world's
eye. It will act as a sort of signal for general happiness. But if he
had to go and explain matters base and mournful to her, there would be no
smile on her face, and not much gratitude in her breast. There would be
none for a time, certainly. Proximity to her faded sister made him
conceive her attainable, and thrice precious by contrast.",BAAI/bge-m3
